# H0 k Omega_rbh chi2
7.299031907183355372e+01 3.134928991859785352e+00 6.096302710087571353e-02 1.107280297529398716e+01
7.277143130287029749e+01 3.248594079663090994e+00 7.089211310369165908e-02 1.114289810088061650e+01
7.247632982801853530e+01 3.527957914784731308e+00 6.673634273862311117e-02 1.112844836324156006e+01
7.277124011827780237e+01 3.798660585557073421e+00 7.173248369989479456e-02 1.090147703487775921e+01
7.317392635606955764e+01 3.940262867380972978e+00 8.019095117873037415e-02 1.116285121725658236e+01
7.306091154907336715e+01 3.889765734573111367e+00 9.667123421033578523e-02 1.129519137889413294e+01
7.320020034057023395e+01 3.749892472801737764e+00 1.150108708217018605e-01 1.167372366180256194e+01
7.269244106736003630e+01 3.467291960938767570e+00 1.243073890565074280e-01 1.179093147630653959e+01
7.269244106736003630e+01 3.467291960938767570e+00 1.243073890565074280e-01 1.179093147630653959e+01
7.274951255162996233e+01 3.558507545799168614e+00 1.369967444185393179e-01 1.191400850910873999e+01
7.265104552540017835e+01 3.917054423931637608e+00 1.380994740036317336e-01 1.171351373918698435e+01
7.303587132185879227e+01 4.088979669897347513e+00 1.376755617728371850e-01 1.167143804362851078e+01
7.316286818169584194e+01 4.225952563422659125e+00 1.250658877371268463e-01 1.153874583940180543e+01
7.299932196705697152e+01 4.256493451571270903e+00 1.184353306876508583e-01 1.136480218497136541e+01
7.306846787099910046e+01 4.119775428109376136e+00 1.168343511223055992e-01 1.143428609311887278e+01
7.326954153624113530e+01 4.472293577403056553e+00 1.190657557367477137e-01 1.146335424872626696e+01
7.306809007992401916e+01 4.564301239825747203e+00 1.261615300658523731e-01 1.135683975740893459e+01
7.350773780390277068e+01 4.521412633434039208e+00 1.285847852595486673e-01 1.180872095217536177e+01
7.325312694521183232e+01 4.564930758320826065e+00 1.190480616254892127e-01 1.141514804022621377e+01
7.295581384974713046e+01 4.743604692809719303e+00 1.152593448742947335e-01 1.116079129229123801e+01
7.291515950574191152e+01 4.451577902245975160e+00 1.283726520622190392e-01 1.136339260498175641e+01
7.290164977156349835e+01 4.391511121113396143e+00 1.468892721086814124e-01 1.157065533650130362e+01
7.253438897917722272e+01 4.595499070376344086e+00 1.357868676173917544e-01 1.143187376358626750e+01
7.223548425405408580e+01 4.501040909907517040e+00 1.220202698579543610e-01 1.158806438240557490e+01
7.236567138260677723e+01 4.474958480867742061e+00 1.238256383391173887e-01 1.148416443711619017e+01
7.275013451946860243e+01 4.685480169651118132e+00 1.362082818815707752e-01 1.133808876411384325e+01
7.270810491160467848e+01 4.981582699400109782e+00 1.506757434372915372e-01 1.136052331457998044e+01
7.235861752069313013e+01 5.042592107354993303e+00 1.408445198136553111e-01 1.145215766886613729e+01
7.192523965589492718e+01 5.134913256995621289e+00 1.360258289341294835e-01 1.195961277935149525e+01
7.199556319390892156e+01 5.264077830824571258e+00 1.239845140056770323e-01 1.181922596086820398e+01
7.155306289697598743e+01 5.080352634672748557e+00 1.339401633025874838e-01 1.273307883671034446e+01
7.159670985549834654e+01 4.775437942813051784e+00 1.333352199304772279e-01 1.269386138504949990e+01
7.136781892786780190e+01 5.000682476499384244e+00 1.322355686444099676e-01 1.322419811705859338e+01
7.172494698360816301e+01 5.032935211421622590e+00 1.457105372891603912e-01 1.242547662780987849e+01
7.210572329345717435e+01 5.291212317763874573e+00 1.279266953452838917e-01 1.159710034824628089e+01
7.242299656847568201e+01 5.170372044546788892e+00 1.343480134272748983e-01 1.132163476085625042e+01
7.256395958848789007e+01 4.933647292738245760e+00 1.226255216794164965e-01 1.121156203028700027e+01
7.281781326496707152e+01 5.178238401435625526e+00 1.259857874333360772e-01 1.110948195948214234e+01
7.296702474141522998e+01 5.287050856094321460e+00 1.345526555735100105e-01 1.116129947202489348e+01
7.296702474141522998e+01 5.287050856094321460e+00 1.345526555735100105e-01 1.116129947202489348e+01
7.294576438881547631e+01 5.219552002375976940e+00 1.462147061054295816e-01 1.125830748180182184e+01
7.258666680118105319e+01 4.979607770459200999e+00 1.448769427788865749e-01 1.135301247709444716e+01
7.319446444952768616e+01 4.978198157000317536e+00 1.325145530178895581e-01 1.135005171158083215e+01
7.317820522144191386e+01 5.050008273752320420e+00 1.253073741909758176e-01 1.125947937818182787e+01
7.309648692831409278e+01 5.153067559261542918e+00 1.242834225748467025e-01 1.117444694925675996e+01
7.283018733875651662e+01 5.045903599526408101e+00 1.231466572451240804e-01 1.112223680193853781e+01
7.272433724692629653e+01 5.081266391007184247e+00 1.440174528636079254e-01 1.127413048689160924e+01
7.316676140346527291e+01 4.949216010742946814e+00 1.387678544084280097e-01 1.139203822725068349e+01
7.259164939136235262e+01 4.813480080847671871e+00 1.419609928587833581e-01 1.138235941405246443e+01
7.270532071967198817e+01 4.765765644552664604e+00 1.499166769464400362e-01 1.143248159447735723e+01
7.259346841024711239e+01 4.410280799926220574e+00 1.596672391717834094e-01 1.170848803772201663e+01
7.220879571330175395e+01 4.350297340278789449e+00 1.633032857410325889e-01 1.204531325241231698e+01
7.194498375401164481e+01 4.537946149544526797e+00 1.599163548693332271e-01 1.228242107117035609e+01
7.220618667698643378e+01 4.645948069403967651e+00 1.564434826452625604e-01 1.185479133614384217e+01
7.221969099757015442e+01 4.506127303188788957e+00 1.454393288746772817e-01 1.179977549157661798e+01
7.196625134551011627e+01 4.262307362052403903e+00 1.506741043656372181e-01 1.224358957585120145e+01
7.238121363520775731e+01 4.349108955496420847e+00 1.554346375414104864e-01 1.181090278168323948e+01
7.242023710859402286e+01 4.658288468762047607e+00 1.496355618681553257e-01 1.159679007954003360e+01
7.271401320816272573e+01 4.879481857201446893e+00 1.427293916737819024e-01 1.133045905037415224e+01
7.265668210022379014e+01 4.624074234030334907e+00 1.385325593667155464e-01 1.139735481915551141e+01
7.280700154423696802e+01 4.652702781181273117e+00 1.409567373336821638e-01 1.139003833035440572e+01
7.287921124159628050e+01 4.310021899706082849e+00 1.265817918413170429e-01 1.139415624774557045e+01
7.254167258046032885e+01 4.259949997987066084e+00 1.218727088637375500e-01 1.142253493996971514e+01
7.279258264812885670e+01 4.274409213873752833e+00 1.145019651405237565e-01 1.128168229081569329e+01
7.279258264812885670e+01 4.274409213873752833e+00 1.145019651405237565e-01 1.128168229081569329e+01
7.297282233941673724e+01 4.269761856424701740e+00 1.073384956227285969e-01 1.123930962138276435e+01
7.302093554202429004e+01 4.377117420829351957e+00 1.083417843031399264e-01 1.123106020824090301e+01
7.303325187122887030e+01 4.178592823326327199e+00 1.085139128605544373e-01 1.130574416604944155e+01
7.279638759342364551e+01 4.185722508107913242e+00 1.077326251366173132e-01 1.124559671342856682e+01
7.271930117683309902e+01 4.312668233579918464e+00 1.084823665888000749e-01 1.121963947846282394e+01
7.261303427269758970e+01 4.774297659258448512e+00 9.249529719087114243e-02 1.100971647855767976e+01
7.247286346609764962e+01 4.613770217570886345e+00 9.056542377587342707e-02 1.110671078346348395e+01
7.309933088058689066e+01 4.729696235526879455e+00 8.006511140317663922e-02 1.093989750896884594e+01
7.319120924527307182e+01 4.843808215481185009e+00 8.473963629580533174e-02 1.100628690917459984e+01
7.338243605329519426e+01 4.686982198055554605e+00 8.938668398053131736e-02 1.123997630667109071e+01
7.348290449573649141e+01 4.593178534525171663e+00 7.393182700700851040e-02 1.124341521545007083e+01
7.257602757948797034e+01 4.439393462815157676e+00 6.998151706606474398e-02 1.092418179450644011e+01
7.272187887827095665e+01 4.177899797465920884e+00 6.133958487917258451e-02 1.084127648276438194e+01
7.289165705383530280e+01 3.777196715884168832e+00 7.105237134845797387e-02 1.099844710552261517e+01
7.289422029341599796e+01 3.993331940552990567e+00 6.999920675995539854e-02 1.093858870005619188e+01
7.345652888093160016e+01 4.051623512293767604e+00 5.897166342273832407e-02 1.117961084301681396e+01
7.354549341095523118e+01 3.924430618726761910e+00 6.445307734350927409e-02 1.137526015838203541e+01
7.377736881199246000e+01 3.917936123825088046e+00 7.007171437269027470e-02 1.180743159924526253e+01
7.377736881199246000e+01 3.917936123825088046e+00 7.007171437269027470e-02 1.180743159924526253e+01
7.409505072293222838e+01 3.822040507389458330e+00 7.205317202615771355e-02 1.253594756523889941e+01
7.431182901108905980e+01 3.642343204275342305e+00 8.190611635272568303e-02 1.331690780855816492e+01
7.439437218938799390e+01 3.390736319273290444e+00 7.065463900921307994e-02 1.349313354271046528e+01
7.439437218938799390e+01 3.390736319273290444e+00 7.065463900921307994e-02 1.349313354271046528e+01
7.450580731237687360e+01 3.021408446458325514e+00 8.548418316044399667e-02 1.432783396380951402e+01
7.412314119702999449e+01 2.759241292660129741e+00 8.834636863350597835e-02 1.344583517326167055e+01
7.454918370878475287e+01 3.141573349548618221e+00 7.190286316141351886e-02 1.412595933942174398e+01
7.469202815788455041e+01 3.135239262751680744e+00 9.527574505385119630e-02 1.511128516145181244e+01
7.441554065557775743e+01 2.829958720105516967e+00 9.287363753061199378e-02 1.435141853849454385e+01
7.416442029459410890e+01 2.823798036843493620e+00 9.624891806601987287e-02 1.368870739517762125e+01
7.417451386108130862e+01 2.758674922582817768e+00 1.011239333656758638e-01 1.389911996205038136e+01
7.424565594509225264e+01 2.851349148094088015e+00 9.569474798154690987e-02 1.388106473999772028e+01
7.403011817402138206e+01 2.810937140296373205e+00 9.364831485468623484e-02 1.328892575969710421e+01
7.403011817402138206e+01 2.810937140296373205e+00 9.364831485468623484e-02 1.328892575969710421e+01
7.367639439956937508e+01 2.946305363081588968e+00 9.255690572626408541e-02 1.241196286715651809e+01
7.376552836325952001e+01 3.175068466532828815e+00 9.425997610534800342e-02 1.245436796497667764e+01
7.403481760131251121e+01 3.216911396430902403e+00 1.054431095802219331e-01 1.322397170766065244e+01
