# H0 k Omega_rbh chi2
73.3143 3.1382 0.0557 11.2021
73.3143 3.1382 0.0557 11.2021
73.0465 2.9297 0.0713 11.3240
72.9574 2.7107 0.0673 11.3175
73.0480 2.7573 0.0666 11.3205
73.1775 2.7217 0.0657 11.3995
73.1733 2.5348 0.0702 11.5809
73.3627 2.6019 0.0759 11.8416
73.5818 2.6014 0.0842 12.3290
73.3159 2.6080 0.0935 12.1801
73.2396 2.8065 0.0814 11.7002
73.0220 2.8762 0.0843 11.5630
73.0333 3.1589 0.0822 11.3885
73.3030 3.2212 0.0921 11.7128
73.4805 3.2016 0.0794 11.7241
73.0192 3.2835 0.0870 11.3973
73.0889 3.5140 0.0909 11.3859
72.4714 3.5059 0.0853 11.3432
72.3580 3.3699 0.0819 11.4339
72.5701 3.2761 0.0780 11.2790
72.5552 3.1999 0.0591 11.0743
71.9955 3.2157 0.0615 11.6919
71.2747 3.2172 0.0624 13.3528
71.5381 3.0857 0.0601 12.6368
71.7793 2.8617 0.0715 12.2899
71.4571 2.7832 0.0619 12.9295
71.5920 2.8358 0.0801 12.8116
72.0108 3.0205 0.0767 11.9011
72.3126 3.0388 0.0745 11.4959
72.4147 3.2807 0.0572 11.1276
72.2023 3.4644 0.0417 11.1670
72.1813 3.3781 0.0399 11.1881
72.4198 3.0426 0.0495 11.0856
72.0009 3.1288 0.0541 11.6234
72.0154 3.3533 0.0505 11.5269
72.0392 3.2592 0.0531 11.5294
71.7983 3.3622 0.0422 11.8486
72.0792 3.0800 0.0590 11.5680
72.4096 2.8378 0.0651 11.3527
72.4098 2.9758 0.0465 11.0716
72.1492 3.3088 0.0412 11.2506
72.1798 3.4449 0.0309 11.1087
72.2126 3.3881 0.0221 11.0010
72.2126 3.3881 0.0221 11.0010
72.2126 3.3881 0.0221 11.0010
72.5645 3.4131 0.0105 10.5730
72.7524 3.3597 0.0211 10.5798
72.9185 3.2260 0.0136 10.5019
72.9185 3.2260 0.0136 10.5019
72.9185 3.2260 0.0136 10.5019
73.2425 3.2887 0.0152 10.6335
73.2425 3.2887 0.0152 10.6335
73.5922 3.1509 0.0148 10.9927
73.5922 3.1509 0.0148 10.9927
73.5922 3.1509 0.0148 10.9927
74.0129 3.3120 0.0187 11.7702
74.0129 3.3120 0.0187 11.7702
73.9769 3.4622 0.0414 11.9580
72.9030 3.6550 0.0377 10.6921
72.6823 3.6262 0.0549 10.8868
72.6221 3.5496 0.0479 10.8543
71.9910 3.4427 0.0318 11.4011
72.3342 3.4764 0.0219 10.8525
72.7349 3.3700 0.0144 10.5258
72.7349 3.3700 0.0144 10.5258
72.5212 3.7368 0.0180 10.6469
72.5666 3.7373 0.0273 10.6861
72.3924 3.5099 0.0197 10.7759
72.5442 3.6966 0.0341 10.7567
72.7668 3.7642 0.0378 10.6894
72.6097 3.7226 0.0467 10.8243
72.6097 3.7226 0.0467 10.8243
72.6494 3.7349 0.0547 10.8778
72.8188 3.6377 0.0490 10.8014
73.0023 4.1007 0.0608 10.8557
73.0023 4.1007 0.0608 10.8557
72.8075 4.0541 0.0559 10.8010
72.8075 4.0541 0.0559 10.8010
72.1925 3.7789 0.0508 11.2165
72.3688 4.0208 0.0384 10.9014
72.2665 4.1232 0.0289 10.9419
72.5121 4.0838 0.0160 10.6281
72.5121 4.0838 0.0160 10.6281
72.5121 4.0838 0.0160 10.6281
72.5121 4.0838 0.0160 10.6281
73.1405 4.2117 0.0271 10.6228
72.8959 4.0033 0.0292 10.5885
73.5202 4.1261 0.0141 10.8492
73.7279 4.2201 0.0320 11.2867
73.6588 4.3124 0.0409 11.2456
73.6588 4.3124 0.0409 11.2456
73.4610 4.0304 0.0312 10.9287
73.7381 4.1668 0.0174 11.1827
73.7381 4.1668 0.0174 11.1827
73.7381 4.1668 0.0174 11.1827
73.7381 4.1668 0.0174 11.1827
73.7381 4.1668 0.0174 11.1827
74.0290 4.3497 0.0158 11.7154
74.0290 4.3497 0.0158 11.7154
74.0290 4.3497 0.0158 11.7154
74.0290 4.3497 0.0158 11.7154
74.0290 4.3497 0.0158 11.7154
74.0707 4.1673 0.0226 11.8775
74.1317 3.7415 0.0133 11.9536
74.1486 4.1679 0.0111 11.9565
74.1486 4.1679 0.0111 11.9565
74.6392 3.8741 0.0200 13.4783
74.6392 3.8741 0.0200 13.4783
74.6392 3.8741 0.0200 13.4783
75.0569 3.5135 0.0201 15.0892
75.0569 3.5135 0.0201 15.0892
74.8427 3.3694 0.0194 14.2414
74.8427 3.3694 0.0194 14.2414
74.2784 3.4890 0.0244 12.4704
74.0244 3.4308 0.0557 12.2642
74.3905 3.4985 0.0602 13.2776
74.3905 3.4985 0.0602 13.2776
74.2971 3.6447 0.0462 12.7748
74.1594 3.6058 0.0497 12.4635
74.1961 3.7021 0.0317 12.3177
74.0356 3.6693 0.0383 12.0142
73.3371 3.7156 0.0375 10.8951
73.2518 3.8587 0.0453 10.8816
73.1003 3.8949 0.0440 10.7728
73.0595 4.3557 0.0473 10.7280
73.3227 4.2655 0.0592 11.0053
72.9573 4.3587 0.0531 10.7437
73.2414 4.4457 0.0479 10.8214
73.2414 4.4457 0.0479 10.8214
73.1845 4.4200 0.0306 10.6584
73.7608 4.3193 0.0478 11.4706
73.6675 3.8539 0.0572 11.4902
73.6675 3.8539 0.0572 11.4902
73.6675 3.8539 0.0572 11.4902
73.5056 4.1835 0.0427 11.0663
73.2616 4.1617 0.0373 10.7819
72.9830 3.8218 0.0290 10.6105
73.0141 3.5130 0.0321 10.6738
73.3632 3.4943 0.0287 10.8543
73.4403 3.0938 0.0154 10.8191
73.5489 3.0542 0.0114 10.9019
73.5489 3.0542 0.0114 10.9019
73.5489 3.0542 0.0114 10.9019
74.1376 3.0290 0.0251 12.1727
73.9375 2.9747 0.0342 11.8651
73.6655 2.9578 0.0416 11.4832
74.3253 3.2541 0.0331 12.7482
74.3564 3.5746 0.0372 12.8387
74.2479 3.4115 0.0499 12.7443
74.4307 3.4712 0.0377 13.0825
74.3828 3.6271 0.0434 12.9866
74.6626 3.3547 0.0380 13.8629
75.0405 3.2472 0.0385 15.3472
75.0854 3.3430 0.0436 15.6003
75.0168 3.3872 0.0549 15.4859
75.0168 3.3872 0.0549 15.4859
75.0001 3.4677 0.0456 15.2399
75.0219 3.5793 0.0317 15.0989
74.8278 3.5116 0.0455 14.5427
74.8278 3.5116 0.0455 14.5427
74.7722 3.6321 0.0458 14.3101
74.5399 3.4267 0.0469 13.5672
74.5399 3.4267 0.0469 13.5672
74.5725 3.6080 0.0586 13.7975
74.4101 3.3103 0.0521 13.2703
74.3450 3.0062 0.0601 13.3210
74.0081 3.0417 0.0592 12.4080
73.9132 3.0808 0.0700 12.3696
73.9132 3.0808 0.0700 12.3696
74.0262 3.0192 0.0639 12.5418
74.0641 3.2477 0.0644 12.5483
74.0641 3.2477 0.0644 12.5483
73.6807 3.4872 0.0712 11.7854
73.6807 3.4872 0.0712 11.7854
73.9425 3.3724 0.0701 12.3126
73.8977 3.1649 0.0763 12.4069
73.9832 2.9809 0.1025 13.2296
73.9793 3.0151 0.1038 13.2192
74.1869 2.7428 0.1103 14.1902
74.1421 2.9033 0.1223 14.1829
74.0529 3.0761 0.1047 13.3670
74.1012 3.0840 0.1005 13.3965
74.0870 3.2707 0.1143 13.4868
74.2266 3.0860 0.1308 14.4122
74.4274 3.3581 0.1386 14.9028
73.8468 3.3966 0.1337 13.1815
73.4773 3.3978 0.1373 12.5811
73.3493 3.6721 0.1368 12.1822
73.4668 4.1261 0.1406 12.0855
73.5278 3.9490 0.1351 12.2057
73.6916 4.0469 0.1361 12.4251
73.3655 4.2941 0.1302 11.7496
73.2517 4.3163 0.1367 11.6967
72.9840 4.3960 0.1362 11.4838
72.9431 4.3921 0.1559 11.6772
72.5226 4.1435 0.1557 11.8356
72.3636 4.1577 0.1550 11.9170
72.1841 4.2023 0.1522 12.0342
72.1884 4.0523 0.1627 12.2233
72.3288 4.1628 0.1519 11.9090
72.2809 4.2702 0.1735 12.1222
72.2809 4.2702 0.1735 12.1222
72.8196 4.0205 0.1686 12.0271
72.9287 4.1785 0.1634 11.8816
73.2964 4.2654 0.1603 12.0425
73.3351 4.3909 0.1709 12.1317
73.4583 3.9800 0.1588 12.4165
73.6368 3.9571 0.1676 12.8443
73.6368 3.9571 0.1676 12.8443
73.1414 3.9046 0.1532 12.0528
73.1414 3.9046 0.1532 12.0528
73.3993 3.7384 0.1402 12.2460
73.3154 3.8221 0.1509 12.2441
73.6368 3.9055 0.1678 12.8926
72.8945 4.1823 0.1587 11.8126
72.7390 4.2766 0.1383 11.5224
72.9495 4.1055 0.1426 11.6835
72.6399 4.4275 0.1405 11.4969
72.6399 4.4275 0.1405 11.4969
72.6399 4.4275 0.1405 11.4969
72.6399 4.4275 0.1405 11.4969
72.6399 4.4275 0.1405 11.4969
72.6399 4.4275 0.1405 11.4969
72.9046 4.3036 0.1430 11.5726
72.6881 4.3726 0.1287 11.3942
72.7675 4.3851 0.1223 11.3182
72.8491 3.9384 0.1200 11.4784
72.6211 3.8238 0.1431 11.8378
72.2143 3.8073 0.1568 12.2797
72.1131 3.7413 0.1742 12.6675
71.7424 3.7384 0.1715 13.1962
71.5182 4.0029 0.1697 13.4779
71.6752 4.3266 0.1704 12.9667
71.3572 4.4496 0.1759 13.7205
71.7813 4.1432 0.1690 12.8376
72.0566 3.9938 0.1890 12.7300
71.7907 4.0038 0.1863 13.0973
71.7907 4.0038 0.1863 13.0973
71.7907 4.0038 0.1863 13.0973
71.7907 4.0038 0.1863 13.0973
71.9862 4.0018 0.1862 12.7842
71.9862 4.0018 0.1862 12.7842
72.2925 3.7338 0.1772 12.5406
71.9969 3.7682 0.1718 12.7620
71.9969 3.7682 0.1718 12.7620
71.9650 4.0080 0.1594 12.5008
72.1530 4.0351 0.1723 12.3838
72.5733 4.0118 0.1874 12.2956
72.2693 4.3454 0.1755 12.1107
72.0326 4.2333 0.1843 12.5412
71.9246 4.2631 0.1790 12.6264
71.8252 3.9853 0.1951 13.1560
71.8249 3.8851 0.1913 13.1885
71.8067 3.6865 0.1879 13.3434
71.9459 3.6193 0.1860 13.1600
71.7132 3.8910 0.1680 13.1056
71.5835 3.4778 0.1708 13.7139
71.6684 3.8196 0.1768 13.3480
71.5243 3.7233 0.1804 13.7749
71.3407 3.5460 0.1767 14.3171
71.3407 3.5460 0.1767 14.3171
71.4199 3.2193 0.1584 14.1311
71.3023 3.0631 0.1510 14.4552
71.3023 3.0631 0.1510 14.4552
71.2253 3.0302 0.1365 14.4646
71.2253 3.0302 0.1365 14.4646
71.2449 2.9873 0.1349 14.4177
71.2195 2.7670 0.1326 14.6394
71.2195 2.7670 0.1326 14.6394
71.2453 2.5557 0.1158 14.4450
71.7963 2.6674 0.1322 13.4275
71.7015 2.3892 0.1223 13.7006
71.3880 2.1783 0.1173 14.5221
71.8221 2.5127 0.1078 13.0228
71.6680 2.6908 0.1015 13.0514
71.6268 2.8930 0.1100 13.1446
71.5356 2.8838 0.1064 13.2976
71.7173 2.7265 0.1062 13.0100
71.9233 2.9542 0.1167 12.6642
72.1024 2.8210 0.1171 12.5314
71.7170 2.7350 0.1118 13.1042
71.7926 3.0236 0.1079 12.7015
71.7926 3.0236 0.1079 12.7015
71.6590 3.1693 0.1140 12.9689
71.3747 3.4012 0.1036 13.4202
71.5590 3.0740 0.0999 13.0493
71.6495 3.0647 0.0966 12.8073
71.7127 2.9539 0.1087 12.9085
71.8667 2.8985 0.1092 12.6702
71.7901 2.8054 0.1167 13.0007
