# H0 k chi2
7.293964814155037857e+01 2.848656453044318582e+00 1.099531015745058227e+01
7.233012166601901072e+01 2.699862683914318051e+00 1.079959451547849447e+01
7.224871701484454434e+01 2.856847977282021223e+00 1.073267102917078120e+01
7.214517009047126805e+01 2.944018478043968656e+00 1.067842992329167373e+01
7.241355788166994500e+01 2.874827076088793731e+00 1.078712787879494428e+01
7.235654039476951027e+01 2.867587466771135851e+00 1.076828675664019386e+01
7.314786808872950985e+01 3.009818645143083504e+00 1.103754862265481407e+01
7.303036405013345700e+01 3.120334078562271074e+00 1.096287736769091481e+01
7.303036405013345700e+01 3.120334078562271074e+00 1.096287736769091481e+01
7.303036405013345700e+01 3.120334078562271074e+00 1.096287736769091481e+01
7.350529821359718596e+01 3.026986556763978875e+00 1.118495559129170402e+01
7.312678173924749103e+01 2.793201103739922253e+00 1.108873137923868768e+01
7.273325961509327442e+01 2.867293632202152054e+00 1.090863473819973883e+01
7.343650434978985686e+01 2.771742307314617904e+00 1.123089789113828019e+01
7.337122705161534952e+01 2.904605985140277458e+00 1.116114069410390996e+01
7.342334502836119725e+01 2.915509929514750187e+00 1.118077841423713892e+01
7.284985610652655907e+01 3.009212403671037706e+00 1.091862616129817454e+01
7.377120336734121508e+01 3.590141377201538475e+00 1.116293198764520156e+01
7.364558100876169533e+01 3.635818722412822002e+00 1.110019724343146486e+01
7.389109015705466277e+01 3.668503061190852232e+00 1.119818100998896071e+01
7.419430553871200118e+01 3.506200113995644241e+00 1.137201839268126058e+01
7.509943609051245517e+01 3.265213241821786294e+00 1.190362133778098297e+01
7.526257021105148226e+01 3.622727850454454224e+00 1.188404875674000039e+01
7.494927529564526480e+01 3.793350258235244965e+00 1.167271388350303951e+01
7.478348735150981952e+01 3.659293719805451595e+00 1.162123549227336561e+01
7.456434713930119074e+01 3.746066876949985414e+00 1.149125220810683246e+01
7.512044713645043714e+01 3.648522027009810209e+00 1.179983565475290064e+01
7.551663218863690474e+01 3.918313041003115060e+00 1.194534143366501766e+01
7.475758383217842606e+01 3.800648236241591871e+00 1.157377909379661318e+01
7.548921140152279463e+01 3.735202048389059115e+00 1.197841886935007238e+01
7.566670714041752888e+01 3.672737273995092977e+00 1.209745921333694518e+01
7.566670714041752888e+01 3.672737273995092977e+00 1.209745921333694518e+01
7.576104073444554388e+01 3.505477928260106513e+00 1.220465545858306022e+01
7.598023398305321052e+01 3.612019710882754531e+00 1.230210818452305332e+01
7.531471496401363197e+01 3.921025503598993822e+00 1.183418327678069204e+01
7.555810845024738853e+01 3.710757988052578948e+00 1.202416499181102161e+01
7.549202750197497380e+01 4.048304041269286557e+00 1.190004160167186065e+01
7.649531536450594160e+01 3.470804329953065093e+00 1.190004160167186065e+01
7.631190257118568354e+01 3.598770845741543933e+00 1.251271346737124546e+01
7.612711889582176639e+01 3.770546200857469721e+00 1.234252129411317789e+01
