parameter,weighted_mean,weighted_std,q16,q50,q84,min,max
H0,72.84248837128797,0.13805059679534018,72.691435,72.835511,72.985482,72.60034,73.290318
omega_b,0.02320916016975013,8.403562575679736e-05,0.023127766,0.023192589,0.02329274,0.023100025,0.023647378
omega_cdm,0.10880276078996755,9.61674783056609e-05,0.10872099,0.10883233,0.10888305,0.10818797,0.10889999
A_s,2.1288183554193482e-09,1.8498033661938363e-11,2.110442e-09,2.1293704e-09,2.1481626e-09,2.0616212e-09,2.1723238e-09
n_s,0.9951900767037166,0.002336393437107911,0.99270898,0.99505776,0.99767526,0.99100032,1.0024967
tau_reio,0.07143923591786205,0.002888652030061897,0.068022801,0.071519249,0.074721627,0.066002757,0.07649914
log10_ua10_V0,-10.192960541023597,0.22629666168112703,-10.458317,-10.176021,-9.954377,-10.599972,-9.5692243
ua10_V0,7.328505073783999e-11,3.8411580919797487e-11,3.4808303e-11,6.6677484e-11,1.1107671e-10,2.5120482e-11,2.6963462e-10
minuslogpost,2120.979612886104,2.9469553380511946,2118.086542,2120.6996166666668,2123.8311,2112.9453,2137.4186
minuslogprior,-37.15281783420991,0.5508176154673651,-37.53270040444445,-37.38005675,-36.7297138,-37.548077,-33.31364
chi2,4316.264861379006,5.839876796388676,4310.561857333333,4315.6717,4321.946782,4300.2676,4348.7626
chi2__CMB,2845.555481693071,5.630677644391581,2840.0519393333334,2845.0077,2850.9443819999997,2831.4591,2879.9688
chi2__BAO,43.59965855515195,1.6614123151045854,41.970493,43.530547,45.276871,38.863471,51.391317
chi2__SN,1427.0560332092969,0.5075215610374142,1426.5601,1427.0299,1427.5618,1425.5826,1429.2752
chi2__shoes_H0,0.053687877412611024,0.04876489991976253,0.0050694626,0.038983082,0.11233149,7.864558e-11,0.17871744
chi2__planck_2018_highl_plik.TTTEEE,2425.8501704825344,5.857581356718497,2420.1389744000003,2425.2708,2431.5252,2409.3915,2462.2808
chi2__planck_2018_lowl.TT,19.929424446840155,0.12215148242839999,19.803061,19.9119,20.061261,19.718204,20.423124
chi2__planck_2018_lowl.EE,399.77588678640757,1.2906608618022564,398.30553,399.75767,401.26643,397.32549,402.46034
chi2__bao.sdss_dr12_consensus_bao,43.59965855515195,1.6614123151045854,41.970493,43.530547,45.276871,38.863471,51.391317
chi2__sn.pantheonplus,1427.0560332092969,0.5075215610374142,1426.5601,1427.0299,1427.5618,1425.5826,1429.2752
